epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.01747,3.51155,4.74282,1.49911,0.00763,0.021,0.00025,6e-05,3.40747,4.47621,1.41079,0,0,0
2,15.9242,3.61294,4.70201,1.47472,0.00917,0.02668,0.00048,0.00016,3.39989,4.36315,1.40717,1.65033e-05,1.65033e-05,1.65033e-05
3,21.4594,3.4784,4.61747,1.46549,0.02585,0.05331,0.00487,0.00125,3.37407,4.11512,1.39777,3.26733e-05,3.26733e-05,3.26733e-05
4,26.6329,3.38859,4.27199,1.49388,0.04692,0.08062,0.01654,0.00397,3.33492,3.84441,1.39002,4.85099e-05,4.85099e-05,4.85099e-05
5,31.8569,3.32497,3.85174,1.35729,0.07487,0.08189,0.01878,0.00468,3.28643,3.51703,1.37983,6.40131e-05,6.40131e-05,6.40131e-05
6,37.5949,3.28228,3.3891,1.40691,0.15029,0.0758,0.02644,0.00626,3.25045,3.14127,1.37316,7.91829e-05,7.91829e-05,7.91829e-05
7,43.3903,3.21461,2.78948,1.37843,0.22348,0.09767,0.04422,0.00935,3.20486,2.78788,1.38444,9.40194e-05,9.40194e-05,9.40194e-05
8,48.955,3.12034,2.2619,1.27716,0.24577,0.13098,0.06621,0.01467,3.18991,2.56851,1.39351,0.000108523,0.000108523,0.000108523
9,54.4546,3.13341,2.07596,1.31387,0.24472,0.18034,0.09195,0.02172,3.17377,2.41514,1.39851,0.000122692,0.000122692,0.000122692
10,59.9301,3.14061,2.03634,1.28998,0.24056,0.23965,0.116,0.02836,3.14448,2.35624,1.38599,0.000136529,0.000136529,0.000136529
11,65.855,3.08473,1.91395,1.19168,0.25603,0.30192,0.14822,0.03511,3.11872,2.31055,1.37397,0.000150032,0.000150032,0.000150032
12,71.2358,2.93638,1.84416,1.2724,0.28003,0.30722,0.17151,0.04107,3.11406,2.23267,1.36658,0.000163201,0.000163201,0.000163201
13,76.7251,2.96364,1.69089,1.2179,0.29719,0.32473,0.1873,0.0454,3.11408,2.13852,1.35798,0.000176038,0.000176038,0.000176038
14,82.3343,3.08242,1.67325,1.20722,0.36765,0.29529,0.20688,0.05053,3.11352,2.07998,1.34784,0.000188541,0.000188541,0.000188541
15,88.2082,2.98795,1.6064,1.15145,0.36461,0.33123,0.22541,0.05653,3.0843,2.06364,1.32757,0.00020071,0.00020071,0.00020071
16,93.8497,2.92149,1.5675,1.14258,0.40379,0.39117,0.25876,0.0643,3.03194,2.03342,1.29859,0.000212546,0.000212546,0.000212546
17,99.1284,2.90298,1.89573,1.26057,0.45382,0.43746,0.30735,0.07663,2.99806,1.95794,1.27504,0.000224049,0.000224049,0.000224049
18,104.513,2.90388,1.51164,1.13411,0.45382,0.43746,0.30735,0.07663,2.99806,1.95794,1.27504,0.000235219,0.000235219,0.000235219
19,109.969,2.83683,1.50509,1.14758,0.49849,0.4862,0.35528,0.08908,2.96004,1.7492,1.2547,0.000246055,0.000246055,0.000246055
